PlayerID,Patch,Agent,count
166.0,3,viper,6
166.0,3,sova,3
166.0,3,breach,3
166.0,3,cypher,2
166.0,3,omen,2
166.0,3,sage,1
167.0,1,sova,5
168.0,1,omen,5
169.0,1,jett,9
169.0,2,jett,3
169.0,2,viper,1
169.0,3,viper,18
169.0,3,jett,14
169.0,3,chamber,1
169.0,3,raze,1
170.0,1,sova,3
170.0,1,sage,3
170.0,1,killjoy,2
170.0,1,breach,1
170.0,3,sova,8
170.0,3,sage,1
172.0,1,breach,13
172.0,1,phoenix,9
172.0,1,jett,8
172.0,1,sage,3
172.0,1,reyna,2
172.0,2,jett,14
172.0,2,reyna,12
172.0,2,raze,9
172.0,2,breach,6
172.0,2,skye,5
172.0,2,phoenix,3
172.0,3,jett,8
172.0,3,sova,4
172.0,3,reyna,3
172.0,3,raze,3
172.0,3,breach,3
172.0,3,sage,2
172.0,3,skye,2
173.0,1,raze,6
173.0,1,reyna,2
173.0,1,jett,1
173.0,1,breach,1
173.0,2,cypher,3
173.0,2,jett,1
173.0,3,sova,7
173.0,3,killjoy,2
173.0,3,jett,1
173.0,3,sage,1
175.0,1,cypher,18
175.0,1,sage,3
175.0,1,omen,1
175.0,1,killjoy,1
175.0,2,cypher,2
179.0,1,phoenix,5
179.0,1,sova,3
179.0,1,sage,1
185.0,1,brimstone,1
185.0,2,phoenix,1
185.0,2,raze,1
185.0,3,jett,12
185.0,3,killjoy,3
185.0,3,cypher,3
185.0,3,chamber,1
186.0,1,jett,11
186.0,1,reyna,10
186.0,1,breach,3
186.0,1,omen,1
186.0,2,killjoy,8
186.0,2,phoenix,4
186.0,2,reyna,4
186.0,2,viper,4
186.0,2,sage,4
186.0,2,raze,3
186.0,2,jett,2
186.0,2,sova,1
186.0,3,sova,8
186.0,3,astra,3
186.0,3,breach,2
186.0,3,sage,2
186.0,3,skye,2
186.0,3,viper,1
186.0,3,killjoy,1
193.0,0,brimstone,2
193.0,0,omen,1
193.0,1,raze,8
193.0,1,reyna,8
193.0,1,cypher,2
193.0,1,phoenix,1
193.0,1,jett,1
193.0,2,phoenix,7
193.0,2,raze,4
193.0,2,sage,2
193.0,2,jett,2
193.0,2,breach,1
193.0,3,sage,7
193.0,3,viper,5
193.0,3,cypher,3
193.0,3,omen,3
193.0,3,killjoy,3
193.0,3,raze,2
194.0,0,jett,2
194.0,0,raze,2
194.0,1,raze,26
194.0,1,jett,5
194.0,2,raze,36
194.0,2,jett,1
194.0,3,raze,15
194.0,3,jett,11
194.0,3,killjoy,5
195.0,1,sova,1
195.0,2,breach,3
195.0,2,sova,1
195.0,3,astra,3
195.0,3,omen,2
195.0,3,sage,2
195.0,3,viper,1
197.0,1,omen,11
197.0,1,brimstone,8
197.0,1,cypher,1
197.0,3,cypher,1
200.0,1,omen,9
200.0,1,jett,6
200.0,1,raze,1
200.0,1,breach,1
200.0,2,omen,3
200.0,2,phoenix,1
201.0,1,cypher,5
201.0,1,omen,1
201.0,2,cypher,5
201.0,2,sage,1
201.0,2,killjoy,1
201.0,2,astra,1
201.0,3,cypher,8
201.0,3,astra,2
201.0,3,sage,2
201.0,3,viper,1
201.0,3,sova,1
202.0,1,brimstone,2
203.0,1,sova,4
203.0,1,omen,2
203.0,1,sage,2
203.0,1,raze,1
203.0,2,breach,4
203.0,2,killjoy,1
203.0,2,viper,1
203.0,2,omen,1
203.0,3,sova,1
203.0,3,sage,1
204.0,1,reyna,2
205.0,1,brimstone,9
205.0,1,omen,1
206.0,1,cypher,3
206.0,2,killjoy,4
206.0,2,viper,1
206.0,3,viper,1
206.0,3,killjoy,1
207.0,1,sage,2
207.0,2,skye,4
207.0,2,sage,1
207.0,3,skye,1
207.0,3,sage,1
211.0,1,omen,1
211.0,1,jett,1
212.0,1,jett,9
212.0,1,phoenix,8
212.0,1,sova,5
213.0,0,cypher,2
213.0,0,brimstone,1
213.0,1,cypher,10
213.0,1,killjoy,8
213.0,2,killjoy,24
213.0,2,astra,5
213.0,2,cypher,3
213.0,3,killjoy,12
213.0,3,kayo,11
213.0,3,cypher,5
213.0,3,skye,5
213.0,3,brimstone,4
213.0,3,breach,3
214.0,0,brimstone,2
214.0,0,sage,1
214.0,1,jett,10
214.0,1,raze,9
214.0,1,omen,3
214.0,1,brimstone,3
214.0,2,jett,20
214.0,2,brimstone,5
214.0,2,raze,5
214.0,2,sage,4
214.0,3,jett,10
214.0,3,sage,2
214.0,3,raze,1
214.0,3,brimstone,1
215.0,0,breach,2
215.0,0,sage,1
215.0,1,breach,3
217.0,0,raze,2
217.0,0,reyna,1
217.0,1,sova,5
217.0,1,sage,4
217.0,1,raze,3
217.0,2,viper,13
217.0,2,omen,7
217.0,2,brimstone,3
217.0,2,breach,3
217.0,2,raze,1
217.0,2,phoenix,1
217.0,3,viper,18
217.0,3,astra,11
217.0,3,reyna,7
217.0,3,brimstone,2
217.0,3,omen,2
218.0,1,cypher,7
218.0,1,omen,6
218.0,1,raze,5
218.0,1,sage,1
218.0,2,cypher,1
219.0,1,omen,16
219.0,1,brimstone,7
219.0,1,killjoy,2
219.0,1,phoenix,1
219.0,2,raze,15
219.0,2,omen,2
219.0,2,phoenix,1
220.0,1,sova,16
220.0,1,cypher,6
220.0,1,raze,3
220.0,1,sage,1
220.0,1,omen,1
220.0,2,sova,11
220.0,2,raze,2
220.0,3,sova,4
